customer_id,age,monthly_income,avg_account_balance,transactions_per_month,credit_card_spend,loan_status,days_since_last_txn
C00001,59,118071,709537,75,169449,No Loan,152
C00002,49,199971,921978,75,445581,No Loan,126
C00003,35,161842,1305987,49,365556,Personal Loan,115
C00004,63,190393,721861,2,296695,Home Loan,148
C00005,28,129863,558188,67,305070,Home Loan,67
C00006,41,61777,19126,11,90214,No Loan,46
C00007,59,66250,1689062,50,349894,No Loan,126
C00008,39,93034,1779626,35,38599,Personal Loan,34
C00009,43,124940,1796680,15,229417,Personal Loan,6
C00010,31,60130,346447,75,109490,No Loan,115
C00011,31,153609,221651,31,355474,No Loan,51
C00012,44,35216,334205,62,22593,Personal Loan,109
C00013,56,104149,1545856,28,453550,No Loan,45
C00014,60,23009,21978,25,225472,No Loan,136
C00015,44,109904,1634208,25,109865,No Loan,22
C00016,23,180399,1362368,75,453109,No Loan,130
C00017,42,165281,1316775,1,173708,Personal Loan,126
C00018,22,199515,80582,59,462441,No Loan,8
C00019,44,35029,1286035,69,433579,No Loan,52
C00020,64,122171,610502,74,187031,No Loan,176
C00021,50,134456,443092,42,473439,No Loan,47
C00022,58,82559,1565155,34,216989,Personal Loan,122
C00023,22,84892,752520,66,229701,No Loan,81
C00024,41,90409,1947962,18,482341,Personal Loan,108
C00025,53,159707,1616589,77,132192,No Loan,6
C00026,32,53065,403471,5,409707,No Loan,98
C00027,42,140544,473163,20,43638,No Loan,30
C00028,64,127340,844812,66,170134,No Loan,101
C00029,45,53783,775008,75,267337,Personal Loan,55
C00030,47,54152,582621,62,482360,No Loan,98
C00031,62,78741,309603,32,15213,Home Loan,4
C00032,48,127049,907950,58,254286,No Loan,29
C00033,36,49092,1839774,50,244987,No Loan,21
C00034,35,168725,303307,38,341910,No Loan,144
C00035,64,191541,1218619,55,215031,Home Loan,137
C00036,23,106483,1543563,28,148259,No Loan,169
C00037,57,141585,1774085,74,141112,No Loan,26
C00038,27,79754,1049654,22,197374,No Loan,126
C00039,41,181050,1400450,43,29949,No Loan,134
C00040,29,107592,286620,36,243072,Car Loan,22
C00041,59,114543,1384300,52,396743,No Loan,74
C00042,38,63169,1305407,36,248066,Home Loan,116
C00043,24,199359,897008,28,469773,Personal Loan,135
C00044,45,74745,353737,78,214480,No Loan,7
C00045,34,130168,729410,58,364577,No Loan,100
C00046,29,133985,1260174,36,208366,Personal Loan,4
C00047,46,25543,1551288,70,411973,No Loan,85
C00048,22,41067,1949079,9,287556,No Loan,129
C00049,40,71033,1692696,21,145384,Personal Loan,178
C00050,48,65256,1454299,64,415335,Home Loan,11
C00051,27,173263,1517185,76,142876,Personal Loan,46
C00052,64,106803,672478,61,185058,Personal Loan,25
C00053,28,138843,186601,40,46545,No Loan,101
C00054,55,48992,73682,56,338663,No Loan,119
C00055,34,68803,1276585,4,161071,No Loan,172
C00056,37,129975,452392,31,358237,Personal Loan,69
C00057,56,164282,1300129,27,432974,Car Loan,1
C00058,60,46270,1407433,58,356468,No Loan,25
C00059,24,156269,1419780,25,490702,No Loan,13
C00060,22,27452,664774,69,462735,No Loan,81
C00061,26,61486,1136606,70,3768,Home Loan,101
C00062,62,34859,1173936,5,263648,Personal Loan,31
C00063,24,178308,1925981,8,330130,No Loan,61
C00064,49,182971,664297,9,469988,Car Loan,114
C00065,38,52083,1876739,15,378865,Home Loan,29
C00066,46,87708,1009366,7,8002,No Loan,140
C00067,64,131462,699025,72,75427,Car Loan,167
C00068,54,167735,472726,15,300931,No Loan,30
C00069,30,113076,1559473,37,13898,No Loan,36
C00070,56,39053,940004,39,403688,No Loan,172
C00071,34,162157,1167936,6,80800,Home Loan,101
C00072,51,181636,1317470,57,214299,Personal Loan,127
C00073,35,109745,594306,19,371167,No Loan,85
C00074,28,89517,1047960,63,425848,Car Loan,58
C00075,34,172225,1450819,31,126718,No Loan,27
C00076,43,156319,1818768,75,33743,Personal Loan,121
C00077,60,161625,141817,79,209610,Personal Loan,60
C00078,41,171883,197803,10,243589,No Loan,146
C00079,36,157207,1664848,67,174458,No Loan,170
C00080,38,156645,1947991,62,130864,Home Loan,15
C00081,44,99267,819883,3,487002,No Loan,68
C00082,46,158261,360887,18,436604,Personal Loan,43
C00083,45,100077,862906,25,152395,No Loan,112
C00084,61,194718,1770472,20,462485,Personal Loan,137
C00085,49,96623,1065726,58,172391,No Loan,174
C00086,35,151004,804838,50,460975,No Loan,18
C00087,21,73687,1204429,79,16868,No Loan,83
C00088,45,88312,1242065,10,230804,Home Loan,92
C00089,27,127615,907479,21,264224,No Loan,178
C00090,29,150976,1963979,29,144848,No Loan,140
C00091,44,47564,1943165,10,197303,Car Loan,143
C00092,21,48835,1596189,13,448668,Home Loan,162
C00093,64,27697,204756,47,184884,No Loan,99
C00094,28,100165,1934423,23,63271,Car Loan,38
C00095,44,168118,1561339,50,491721,Personal Loan,66
C00096,31,77823,1782405,4,77585,No Loan,72
C00097,37,29615,1980516,67,451758,No Loan,49
C00098,28,156132,22669,53,124147,Personal Loan,52
C00099,55,150499,918817,2,15628,Home Loan,45
C00100,55,96436,339154,68,387994,No Loan,51
C00101,53,140562,1559775,65,259517,No Loan,123
C00102,25,91117,212836,79,139337,No Loan,156
C00103,62,54782,1545866,57,417887,Personal Loan,4
C00104,59,98533,137915,70,391016,No Loan,73
C00105,61,92684,201681,7,274604,No Loan,94
C00106,48,99558,580100,19,259970,Personal Loan,74
C00107,27,101422,807491,44,3477,Home Loan,167
C00108,29,176328,1401989,63,264346,No Loan,115
C00109,28,181077,782150,65,113846,No Loan,129
C00110,32,26638,1225416,39,351554,No Loan,67
C00111,54,57419,30395,26,244000,No Loan,79
C00112,53,53377,1335922,44,368897,Car Loan,104
C00113,43,126244,935777,12,273994,Home Loan,68
C00114,44,194188,1283283,22,235693,No Loan,162
C00115,57,187706,776469,77,414025,No Loan,141
C00116,55,43382,1781984,14,464102,No Loan,142
C00117,64,173466,229839,30,133878,Personal Loan,133
C00118,60,87789,1273458,44,400379,No Loan,15
C00119,42,130634,1681099,38,356512,Home Loan,86
C00120,47,151936,1623374,59,262329,Home Loan,123
C00121,55,119572,1665809,42,499590,No Loan,173
C00122,21,191294,1296378,52,24718,Home Loan,139
C00123,55,164738,779456,63,470297,Home Loan,40
C00124,57,143664,862081,61,187274,Home Loan,118
C00125,34,172027,898155,34,156287,Car Loan,18
C00126,23,130674,532169,39,421541,No Loan,75
C00127,21,123533,837345,41,280602,No Loan,108
C00128,25,101845,1689724,37,130293,Home Loan,118
C00129,46,89590,876217,65,384486,Home Loan,112
C00130,34,147775,463253,79,147078,Car Loan,1
C00131,59,86471,1902465,32,225152,No Loan,19
C00132,47,63298,171415,8,426185,Personal Loan,118
C00133,29,68924,1509181,18,76820,No Loan,94
C00134,35,167781,476466,45,366158,No Loan,136
C00135,35,29726,1193304,33,420871,No Loan,20
C00136,46,60542,1321461,5,225751,No Loan,7
C00137,62,171317,152733,74,81234,No Loan,166
C00138,33,54753,1937099,36,129282,Personal Loan,164
C00139,52,99788,820122,23,493622,No Loan,28
C00140,59,41316,299977,40,271246,No Loan,34
C00141,52,104698,631854,5,329251,No Loan,37
C00142,24,35960,1124816,34,234501,No Loan,89
C00143,50,50791,636186,24,126328,Car Loan,162
C00144,57,45216,1393431,17,498217,No Loan,67
C00145,43,183539,979645,71,414769,No Loan,130
C00146,59,84427,214304,22,84079,Home Loan,108
C00147,35,132470,1879031,15,391313,Personal Loan,110
C00148,63,93290,1880217,15,94437,Personal Loan,11
C00149,49,67014,360734,25,79570,Personal Loan,31
C00150,56,155150,1926620,53,92656,Car Loan,174
C00151,33,70519,1134098,21,197937,No Loan,62
C00152,52,24042,378798,66,380445,Car Loan,153
C00153,27,69052,674800,32,172492,Home Loan,42
C00154,42,34389,124107,21,156454,Personal Loan,106
C00155,48,115961,406176,68,462451,Personal Loan,171
C00156,22,88111,1076038,44,38795,Personal Loan,37
C00157,62,125058,1048423,66,51425,No Loan,28
C00158,26,113715,1857829,14,57402,No Loan,54
C00159,48,70733,425474,15,455755,Car Loan,51
C00160,48,54754,97889,20,207275,No Loan,114
C00161,64,169696,93952,34,365271,No Loan,18
C00162,64,105886,722884,36,238723,Home Loan,34
C00163,40,177753,420331,9,416675,No Loan,47
C00164,50,109524,909498,71,311793,No Loan,109
C00165,31,101006,706793,30,203567,Personal Loan,30
C00166,48,44704,226576,77,95117,Personal Loan,2
C00167,45,114913,1010771,63,261712,No Loan,162
C00168,59,114108,748681,35,439600,Car Loan,87
C00169,53,27493,503149,13,464962,No Loan,51
C00170,21,89639,870796,79,209125,No Loan,70
C00171,47,74383,861509,46,187350,No Loan,50
C00172,33,154066,307788,56,340300,Personal Loan,55
C00173,61,67234,329787,9,429960,No Loan,98
C00174,23,198363,1329031,36,350484,No Loan,20
C00175,59,148674,1045725,3,30568,Home Loan,128
C00176,26,25594,259084,19,411207,No Loan,107
C00177,28,27371,134466,28,271056,Home Loan,52
C00178,47,67315,1084107,23,163599,Personal Loan,5
C00179,29,147251,19588,7,489615,Car Loan,81
C00180,57,99526,1889424,76,312570,Personal Loan,78
C00181,53,167698,148452,14,372507,No Loan,46
C00182,62,106005,1751581,46,230066,No Loan,95
C00183,64,125573,1464610,15,413623,Home Loan,105
C00184,44,158202,1215505,67,253007,Home Loan,177
C00185,35,157900,1599575,15,405560,No Loan,81
C00186,52,77514,665457,51,494957,Personal Loan,30
C00187,52,168955,1956356,8,2355,No Loan,156
